汉字,笔顺,名称,UCS,image_paths
桓,1 2 3 4 1 2 5 1 1 1,4450,06853,"pic/noto_serif/桓.png,pic/source_han_sans/桓.png,pic/AlibabaPuHuiTi/桓.png,pic/kaiti/桓.png,pic/hanyi_senty_wen/桓.png"
桡,1 2 3 4 1 5 3 1 3 5,4451,06861,"pic/noto_serif/桡.png,pic/source_han_sans/桡.png,pic/AlibabaPuHuiTi/桡.png,pic/kaiti/桡.png,pic/hanyi_senty_wen/桡.png"
桎,1 2 3 4 1 5 4 1 2 1,4452,0684E,"pic/noto_serif/桎.png,pic/source_han_sans/桎.png,pic/AlibabaPuHuiTi/桎.png,pic/kaiti/桎.png,pic/hanyi_senty_wen/桎.png"
桢,1 2 3 4 2 1 2 5 3 4,4453,06862,"pic/noto_serif/桢.png,pic/source_han_sans/桢.png,pic/AlibabaPuHuiTi/桢.png,pic/kaiti/桢.png,pic/hanyi_senty_wen/桢.png"
桤,1 2 3 4 2 5 2 5 1 5,4454,06864,"pic/noto_serif/桤.png,pic/source_han_sans/桤.png,pic/AlibabaPuHuiTi/桤.png,pic/kaiti/桤.png,pic/hanyi_senty_wen/桤.png"
梃,1 2 3 4 3 1 2 1 5 4,4455,06883,"pic/noto_serif/梃.png,pic/source_han_sans/梃.png,pic/AlibabaPuHuiTi/梃.png,pic/kaiti/梃.png,pic/hanyi_senty_wen/梃.png"
栝,1 2 3 4 3 1 2 2 5 1,4456,0681D,"pic/noto_serif/栝.png,pic/source_han_sans/栝.png,pic/AlibabaPuHuiTi/栝.png,pic/kaiti/栝.png,pic/hanyi_senty_wen/栝.png"
桕,1 2 3 4 3 2 1 5 1 1,4457,06855,"pic/noto_serif/桕.png,pic/source_han_sans/桕.png,pic/AlibabaPuHuiTi/桕.png,pic/kaiti/桕.png,pic/hanyi_senty_wen/桕.png"
桁,1 2 3 4 3 3 2 1 1 2,4458,06841,"pic/noto_serif/桁.png,pic/source_han_sans/桁.png,pic/AlibabaPuHuiTi/桁.png,pic/kaiti/桁.png,pic/hanyi_senty_wen/桁.png"
桧,1 2 3 4 3 4 1 1 5 4,4459,06867,"pic/noto_serif/桧.png,pic/source_han_sans/桧.png,pic/AlibabaPuHuiTi/桧.png,pic/kaiti/桧.png,pic/hanyi_senty_wen/桧.png"
桅,1 2 3 4 3 5 1 3 5 5,4460,06845,"pic/noto_serif/桅.png,pic/source_han_sans/桅.png,pic/AlibabaPuHuiTi/桅.png,pic/kaiti/桅.png,pic/hanyi_senty_wen/桅.png"
栟,1 2 3 4 4 3 1 1 3 2,4461,0681F,"pic/noto_serif/栟.png,pic/source_han_sans/栟.png,pic/AlibabaPuHuiTi/栟.png,pic/kaiti/栟.png,pic/hanyi_senty_wen/栟.png"
桉,1 2 3 4 4 4 5 5 3 1,4462,06849,"pic/noto_serif/桉.png,pic/source_han_sans/桉.png,pic/AlibabaPuHuiTi/桉.png,pic/kaiti/桉.png,pic/hanyi_senty_wen/桉.png"
栩,1 2 3 4 5 4 1 5 4 1,4463,06829,"pic/noto_serif/栩.png,pic/source_han_sans/栩.png,pic/AlibabaPuHuiTi/栩.png,pic/kaiti/栩.png,pic/hanyi_senty_wen/栩.png"
逑,1 2 4 1 3 4 4 4 5 4,4464,09011,"pic/noto_serif/逑.png,pic/source_han_sans/逑.png,pic/AlibabaPuHuiTi/逑.png,pic/kaiti/逑.png,pic/hanyi_senty_wen/逑.png"
逋,1 2 5 1 1 2 4 4 5 4,4465,0900B,"pic/noto_serif/逋.png,pic/source_han_sans/逋.png,pic/AlibabaPuHuiTi/逋.png,pic/kaiti/逋.png,pic/hanyi_senty_wen/逋.png"
彧,1 2 5 1 1 5 3 3 3 4,4466,05F67,"pic/noto_serif/彧.png,pic/source_han_sans/彧.png,pic/AlibabaPuHuiTi/彧.png,pic/kaiti/彧.png,pic/hanyi_senty_wen/彧.png"
鬲,1 2 5 1 2 5 4 3 1 2,4467,09B32,"pic/noto_serif/鬲.png,pic/source_han_sans/鬲.png,pic/AlibabaPuHuiTi/鬲.png,pic/kaiti/鬲.png,pic/hanyi_senty_wen/鬲.png"
豇,1 2 5 1 4 3 1 1 2 1,4468,08C47,"pic/noto_serif/豇.png,pic/source_han_sans/豇.png,pic/AlibabaPuHuiTi/豇.png,pic/kaiti/豇.png,pic/hanyi_senty_wen/豇.png"
酐,1 2 5 3 5 1 1 1 1 2,4469,09150,"pic/noto_serif/酐.png,pic/source_han_sans/酐.png,pic/AlibabaPuHuiTi/酐.png,pic/kaiti/酐.png,pic/hanyi_senty_wen/酐.png"
逦,1 2 5 4 2 5 4 4 5 4,4470,09026,"pic/noto_serif/逦.png,pic/source_han_sans/逦.png,pic/AlibabaPuHuiTi/逦.png,pic/kaiti/逦.png,pic/hanyi_senty_wen/逦.png"
厝,1 3 1 2 2 1 2 5 1 1,4471,0539D,"pic/noto_serif/厝.png,pic/source_han_sans/厝.png,pic/AlibabaPuHuiTi/厝.png,pic/kaiti/厝.png,pic/hanyi_senty_wen/厝.png"
孬,1 3 2 4 5 3 1 5 2 1,4472,05B6C,"pic/noto_serif/孬.png,pic/source_han_sans/孬.png,pic/AlibabaPuHuiTi/孬.png,pic/kaiti/孬.png,pic/hanyi_senty_wen/孬.png"
砝,1 3 2 5 1 1 2 1 5 4,4473,0781D,"pic/noto_serif/砝.png,pic/source_han_sans/砝.png,pic/AlibabaPuHuiTi/砝.png,pic/kaiti/砝.png,pic/hanyi_senty_wen/砝.png"
砹,1 3 2 5 1 1 2 2 3 4,4474,07839,"pic/noto_serif/砹.png,pic/source_han_sans/砹.png,pic/AlibabaPuHuiTi/砹.png,pic/kaiti/砹.png,pic/hanyi_senty_wen/砹.png"
砺,1 3 2 5 1 1 3 1 5 3,4475,0783A,"pic/noto_serif/砺.png,pic/source_han_sans/砺.png,pic/AlibabaPuHuiTi/砺.png,pic/kaiti/砺.png,pic/hanyi_senty_wen/砺.png"
砧,1 3 2 5 1 2 1 2 5 1,4476,07827,"pic/noto_serif/砧.png,pic/source_han_sans/砧.png,pic/AlibabaPuHuiTi/砧.png,pic/kaiti/砧.png,pic/hanyi_senty_wen/砧.png"
砷,1 3 2 5 1 2 5 1 1 2,4477,07837,"pic/noto_serif/砷.png,pic/source_han_sans/砷.png,pic/AlibabaPuHuiTi/砷.png,pic/kaiti/砷.png,pic/hanyi_senty_wen/砷.png"
砟,1 3 2 5 1 3 1 2 1 1,4478,0781F,"pic/noto_serif/砟.png,pic/source_han_sans/砟.png,pic/AlibabaPuHuiTi/砟.png,pic/kaiti/砟.png,pic/hanyi_senty_wen/砟.png"
砼,1 3 2 5 1 3 4 1 2 1,4479,0783C,"pic/noto_serif/砼.png,pic/source_han_sans/砼.png,pic/AlibabaPuHuiTi/砼.png,pic/kaiti/砼.png,pic/hanyi_senty_wen/砼.png"
砥,1 3 2 5 1 3 5 1 5 4,4480,07825,"pic/noto_serif/砥.png,pic/source_han_sans/砥.png,pic/AlibabaPuHuiTi/砥.png,pic/kaiti/砥.png,pic/hanyi_senty_wen/砥.png"
砣,1 3 2 5 1 4 4 5 3 5,4481,07823,"pic/noto_serif/砣.png,pic/source_han_sans/砣.png,pic/AlibabaPuHuiTi/砣.png,pic/kaiti/砣.png,pic/hanyi_senty_wen/砣.png"
剞,1 3 4 1 2 5 1 2 2 2,4482,0525E,"pic/noto_serif/剞.png,pic/source_han_sans/剞.png,pic/AlibabaPuHuiTi/剞.png,pic/kaiti/剞.png,pic/hanyi_senty_wen/剞.png"
砻,1 3 5 3 4 1 3 2 5 1,4483,0783B,"pic/noto_serif/砻.png,pic/source_han_sans/砻.png,pic/AlibabaPuHuiTi/砻.png,pic/kaiti/砻.png,pic/hanyi_senty_wen/砻.png"
轼,1 5 2 1 1 1 2 1 5 4,4484,08F7C,"pic/noto_serif/轼.png,pic/source_han_sans/轼.png,pic/AlibabaPuHuiTi/轼.png,pic/kaiti/轼.png,pic/hanyi_senty_wen/轼.png"
轾,1 5 2 1 1 5 4 1 2 1,4485,08F7E,"pic/noto_serif/轾.png,pic/source_han_sans/轾.png,pic/AlibabaPuHuiTi/轾.png,pic/kaiti/轾.png,pic/hanyi_senty_wen/轾.png"
辂,1 5 2 1 3 5 4 2 5 1,4486,08F82,"pic/noto_serif/辂.png,pic/source_han_sans/辂.png,pic/AlibabaPuHuiTi/辂.png,pic/kaiti/辂.png,pic/hanyi_senty_wen/辂.png"
鸫,1 5 2 3 4 3 5 4 5 1,4487,09E2B,"pic/noto_serif/鸫.png,pic/source_han_sans/鸫.png,pic/AlibabaPuHuiTi/鸫.png,pic/kaiti/鸫.png,pic/hanyi_senty_wen/鸫.png"
趸,1 5 3 2 5 1 2 1 3 4,4488,08DB8,"pic/noto_serif/趸.png,pic/source_han_sans/趸.png,pic/AlibabaPuHuiTi/趸.png,pic/kaiti/趸.png,pic/hanyi_senty_wen/趸.png"
龀,2 1 2 1 3 4 5 2 3 5,4489,09F80,"pic/noto_serif/龀.png,pic/source_han_sans/龀.png,pic/AlibabaPuHuiTi/龀.png,pic/kaiti/龀.png,pic/hanyi_senty_wen/龀.png"
鸬,2 1 5 1 3 3 5 4 5 1,4490,09E2C,"pic/noto_serif/鸬.png,pic/source_han_sans/鸬.png,pic/AlibabaPuHuiTi/鸬.png,pic/kaiti/鸬.png,pic/hanyi_senty_wen/鸬.png"
虔,2 1 5 3 1 5 4 1 3 4,4491,08654,"pic/noto_serif/虔.png,pic/source_han_sans/虔.png,pic/AlibabaPuHuiTi/虔.png,pic/kaiti/虔.png,pic/hanyi_senty_wen/虔.png"
逍,2 4 3 2 5 1 1 4 5 4,4492,0900D,"pic/noto_serif/逍.png,pic/source_han_sans/逍.png,pic/AlibabaPuHuiTi/逍.png,pic/kaiti/逍.png,pic/hanyi_senty_wen/逍.png"
眬,2 5 1 1 1 1 3 5 3 4,4493,0772C,"pic/noto_serif/眬.png,pic/source_han_sans/眬.png,pic/AlibabaPuHuiTi/眬.png,pic/kaiti/眬.png,pic/hanyi_senty_wen/眬.png"
唛,2 5 1 1 1 2 1 3 5 4,4494,0551B,"pic/noto_serif/唛.png,pic/source_han_sans/唛.png,pic/AlibabaPuHuiTi/唛.png,pic/kaiti/唛.png,pic/hanyi_senty_wen/唛.png"
晟,2 5 1 1 1 3 5 5 3 4,4495,0665F,"pic/noto_serif/晟.png,pic/source_han_sans/晟.png,pic/AlibabaPuHuiTi/晟.png,pic/kaiti/晟.png,pic/hanyi_senty_wen/晟.png"
眩,2 5 1 1 1 4 1 5 5 4,4496,07729,"pic/noto_serif/眩.png,pic/source_han_sans/眩.png,pic/AlibabaPuHuiTi/眩.png,pic/kaiti/眩.png,pic/hanyi_senty_wen/眩.png"
眙,2 5 1 1 1 5 4 2 5 1,4497,07719,"pic/noto_serif/眙.png,pic/source_han_sans/眙.png,pic/AlibabaPuHuiTi/眙.png,pic/kaiti/眙.png,pic/hanyi_senty_wen/眙.png"
哧,2 5 1 1 2 1 3 2 3 4,4498,054E7,"pic/noto_serif/哧.png,pic/source_han_sans/哧.png,pic/AlibabaPuHuiTi/哧.png,pic/kaiti/哧.png,pic/hanyi_senty_wen/哧.png"
哽,2 5 1 1 2 5 1 1 3 4,4499,054FD,"pic/noto_serif/哽.png,pic/source_han_sans/哽.png,pic/AlibabaPuHuiTi/哽.png,pic/kaiti/哽.png,pic/hanyi_senty_wen/哽.png"
唔,2 5 1 1 2 5 1 2 5 1,4500,05514,"pic/noto_serif/唔.png,pic/source_han_sans/唔.png,pic/AlibabaPuHuiTi/唔.png,pic/kaiti/唔.png,pic/hanyi_senty_wen/唔.png"
晁,2 5 1 1 3 4 1 5 3 4,4501,06641,"pic/noto_serif/晁.png,pic/source_han_sans/晁.png,pic/AlibabaPuHuiTi/晁.png,pic/kaiti/晁.png,pic/hanyi_senty_wen/晁.png"
晏,2 5 1 1 4 4 5 5 3 1,4502,0664F,"pic/noto_serif/晏.png,pic/source_han_sans/晏.png,pic/AlibabaPuHuiTi/晏.png,pic/kaiti/晏.png,pic/hanyi_senty_wen/晏.png"
鸮,2 5 1 1 5 3 5 4 5 1,4503,09E2E,"pic/noto_serif/鸮.png,pic/source_han_sans/鸮.png,pic/AlibabaPuHuiTi/鸮.png,pic/kaiti/鸮.png,pic/hanyi_senty_wen/鸮.png"
趵,2 5 1 2 1 2 1 3 5 4,4504,08DB5,"pic/noto_serif/趵.png,pic/source_han_sans/趵.png,pic/AlibabaPuHuiTi/趵.png,pic/kaiti/趵.png,pic/hanyi_senty_wen/趵.png"
趿,2 5 1 2 1 2 1 3 5 4,4505,08DBF,"pic/noto_serif/趿.png,pic/source_han_sans/趿.png,pic/AlibabaPuHuiTi/趿.png,pic/kaiti/趿.png,pic/hanyi_senty_wen/趿.png"
畛,2 5 1 2 1 3 4 3 3 3,4506,0755B,"pic/noto_serif/畛.png,pic/source_han_sans/畛.png,pic/AlibabaPuHuiTi/畛.png,pic/kaiti/畛.png,pic/hanyi_senty_wen/畛.png"
蚨,2 5 1 2 1 4 1 1 3 4,4507,086A8,"pic/noto_serif/蚨.png,pic/source_han_sans/蚨.png,pic/AlibabaPuHuiTi/蚨.png,pic/kaiti/蚨.png,pic/hanyi_senty_wen/蚨.png"
蚜,2 5 1 2 1 4 1 5 2 3,4508,0869C,"pic/noto_serif/蚜.png,pic/source_han_sans/蚜.png,pic/AlibabaPuHuiTi/蚜.png,pic/kaiti/蚜.png,pic/hanyi_senty_wen/蚜.png"
蚍,2 5 1 2 1 4 1 5 3 5,4509,0868D,"pic/noto_serif/蚍.png,pic/source_han_sans/蚍.png,pic/AlibabaPuHuiTi/蚍.png,pic/kaiti/蚍.png,pic/hanyi_senty_wen/蚍.png"
蚋,2 5 1 2 1 4 2 5 3 4,4510,0868B,"pic/noto_serif/蚋.png,pic/source_han_sans/蚋.png,pic/AlibabaPuHuiTi/蚋.png,pic/kaiti/蚋.png,pic/hanyi_senty_wen/蚋.png"
蚬,2 5 1 2 1 4 2 5 3 5,4511,086AC,"pic/noto_serif/蚬.png,pic/source_han_sans/蚬.png,pic/AlibabaPuHuiTi/蚬.png,pic/kaiti/蚬.png,pic/hanyi_senty_wen/蚬.png"
蚝,2 5 1 2 1 4 3 1 1 5,4512,0869D,"pic/noto_serif/蚝.png,pic/source_han_sans/蚝.png,pic/AlibabaPuHuiTi/蚝.png,pic/kaiti/蚝.png,pic/hanyi_senty_wen/蚝.png"
蚧,2 5 1 2 1 4 3 4 3 2,4513,086A7,"pic/noto_serif/蚧.png,pic/source_han_sans/蚧.png,pic/AlibabaPuHuiTi/蚧.png,pic/kaiti/蚧.png,pic/hanyi_senty_wen/蚧.png"
唢,2 5 1 2 4 3 2 5 3 4,4514,05522,"pic/noto_serif/唢.png,pic/source_han_sans/唢.png,pic/AlibabaPuHuiTi/唢.png,pic/kaiti/唢.png,pic/hanyi_senty_wen/唢.png"
圄,2 5 1 2 5 1 2 5 1 1,4515,05704,"pic/noto_serif/圄.png,pic/source_han_sans/圄.png,pic/AlibabaPuHuiTi/圄.png,pic/kaiti/圄.png,pic/hanyi_senty_wen/圄.png"
唣,2 5 1 3 2 5 1 1 1 5,4516,05523,"pic/noto_serif/唣.png,pic/source_han_sans/唣.png,pic/AlibabaPuHuiTi/唣.png,pic/kaiti/唣.png,pic/hanyi_senty_wen/唣.png"
唏,2 5 1 3 4 1 3 2 5 2,4517,0550F,"pic/noto_serif/唏.png,pic/source_han_sans/唏.png,pic/AlibabaPuHuiTi/唏.png,pic/kaiti/唏.png,pic/hanyi_senty_wen/唏.png"
盎,2 5 1 3 4 2 5 2 2 1,4518,076CE,"pic/noto_serif/盎.png,pic/source_han_sans/盎.png,pic/AlibabaPuHuiTi/盎.png,pic/kaiti/盎.png,pic/hanyi_senty_wen/盎.png"
唑,2 5 1 3 4 3 4 1 2 1,4519,05511,"pic/noto_serif/唑.png,pic/source_han_sans/唑.png,pic/AlibabaPuHuiTi/唑.png,pic/kaiti/唑.png,pic/hanyi_senty_wen/唑.png"
崂,2 5 2 1 2 2 4 5 5 3,4520,05D02,"pic/noto_serif/崂.png,pic/source_han_sans/崂.png,pic/AlibabaPuHuiTi/崂.png,pic/kaiti/崂.png,pic/hanyi_senty_wen/崂.png"
崃,2 5 2 1 4 3 1 2 3 4,4521,05D03,"pic/noto_serif/崃.png,pic/source_han_sans/崃.png,pic/AlibabaPuHuiTi/崃.png,pic/kaiti/崃.png,pic/hanyi_senty_wen/崃.png"
罡,2 5 2 2 1 1 2 1 2 1,4522,07F61,"pic/noto_serif/罡.png,pic/source_han_sans/罡.png,pic/AlibabaPuHuiTi/罡.png,pic/kaiti/罡.png,pic/hanyi_senty_wen/罡.png"
罟,2 5 2 2 1 1 2 2 5 1,4523,07F5F,"pic/noto_serif/罟.png,pic/source_han_sans/罟.png,pic/AlibabaPuHuiTi/罟.png,pic/kaiti/罟.png,pic/hanyi_senty_wen/罟.png"
峪,2 5 2 3 4 3 4 2 5 1,4524,05CEA,"pic/noto_serif/峪.png,pic/source_han_sans/峪.png,pic/AlibabaPuHuiTi/峪.png,pic/kaiti/峪.png,pic/hanyi_senty_wen/峪.png"
觊,2 5 2 5 1 5 2 5 3 5,4525,089CA,"pic/noto_serif/觊.png,pic/source_han_sans/觊.png,pic/AlibabaPuHuiTi/觊.png,pic/kaiti/觊.png,pic/hanyi_senty_wen/觊.png"
赅,2 5 3 4 4 1 5 3 3 4,4526,08D45,"pic/noto_serif/赅.png,pic/source_han_sans/赅.png,pic/AlibabaPuHuiTi/赅.png,pic/kaiti/赅.png,pic/hanyi_senty_wen/赅.png"
钰,3 1 1 1 5 1 1 2 1 4,4527,094B0,"pic/noto_serif/钰.png,pic/source_han_sans/钰.png,pic/AlibabaPuHuiTi/钰.png,pic/kaiti/钰.png,pic/hanyi_senty_wen/钰.png"
钲,3 1 1 1 5 1 2 1 2 1,4528,094B2,"pic/noto_serif/钲.png,pic/source_han_sans/钲.png,pic/AlibabaPuHuiTi/钲.png,pic/kaiti/钲.png,pic/hanyi_senty_wen/钲.png"
钴,3 1 1 1 5 1 2 2 5 1,4529,094B4,"pic/noto_serif/钴.png,pic/source_han_sans/钴.png,pic/AlibabaPuHuiTi/钴.png,pic/kaiti/钴.png,pic/hanyi_senty_wen/钴.png"
钵,3 1 1 1 5 1 2 3 4 1,4530,094B5,"pic/noto_serif/钵.png,pic/source_han_sans/钵.png,pic/AlibabaPuHuiTi/钵.png,pic/kaiti/钵.png,pic/hanyi_senty_wen/钵.png"
钹,3 1 1 1 5 1 3 5 4 4,4531,094B9,"pic/noto_serif/钹.png,pic/source_han_sans/钹.png,pic/AlibabaPuHuiTi/钹.png,pic/kaiti/钹.png,pic/hanyi_senty_wen/钹.png"
钺,3 1 1 1 5 1 5 5 3 4,4532,094BA,"pic/noto_serif/钺.png,pic/source_han_sans/钺.png,pic/AlibabaPuHuiTi/钺.png,pic/kaiti/钺.png,pic/hanyi_senty_wen/钺.png"
钽,3 1 1 1 5 2 5 1 1 1,4533,094BD,"pic/noto_serif/钽.png,pic/source_han_sans/钽.png,pic/AlibabaPuHuiTi/钽.png,pic/kaiti/钽.png,pic/hanyi_senty_wen/钽.png"
钼,3 1 1 1 5 2 5 1 1 1,4534,094BC,"pic/noto_serif/钼.png,pic/source_han_sans/钼.png,pic/AlibabaPuHuiTi/钼.png,pic/kaiti/钼.png,pic/hanyi_senty_wen/钼.png"
钿,3 1 1 1 5 2 5 1 2 1,4535,094BF,"pic/noto_serif/钿.png,pic/source_han_sans/钿.png,pic/AlibabaPuHuiTi/钿.png,pic/kaiti/钿.png,pic/hanyi_senty_wen/钿.png"
铀,3 1 1 1 5 2 5 1 2 1,4536,094C0,"pic/noto_serif/铀.png,pic/source_han_sans/铀.png,pic/AlibabaPuHuiTi/铀.png,pic/kaiti/铀.png,pic/hanyi_senty_wen/铀.png"
铂,3 1 1 1 5 3 2 5 1 1,4537,094C2,"pic/noto_serif/铂.png,pic/source_han_sans/铂.png,pic/AlibabaPuHuiTi/铂.png,pic/kaiti/铂.png,pic/hanyi_senty_wen/铂.png"
铄,3 1 1 1 5 3 5 2 3 4,4538,094C4,"pic/noto_serif/铄.png,pic/source_han_sans/铄.png,pic/AlibabaPuHuiTi/铄.png,pic/kaiti/铄.png,pic/hanyi_senty_wen/铄.png"
铆,3 1 1 1 5 3 5 3 5 2,4539,094C6,"pic/noto_serif/铆.png,pic/source_han_sans/铆.png,pic/AlibabaPuHuiTi/铆.png,pic/kaiti/铆.png,pic/hanyi_senty_wen/铆.png"
铈,3 1 1 1 5 4 1 2 5 2,4540,094C8,"pic/noto_serif/铈.png,pic/source_han_sans/铈.png,pic/AlibabaPuHuiTi/铈.png,pic/kaiti/铈.png,pic/hanyi_senty_wen/铈.png"
铉,3 1 1 1 5 4 1 5 5 4,4541,094C9,"pic/noto_serif/铉.png,pic/source_han_sans/铉.png,pic/AlibabaPuHuiTi/铉.png,pic/kaiti/铉.png,pic/hanyi_senty_wen/铉.png"
铊,3 1 1 1 5 4 4 5 3 5,4542,094CA,"pic/noto_serif/铊.png,pic/source_han_sans/铊.png,pic/AlibabaPuHuiTi/铊.png,pic/kaiti/铊.png,pic/hanyi_senty_wen/铊.png"
铋,3 1 1 1 5 4 5 4 3 4,4543,094CB,"pic/noto_serif/铋.png,pic/source_han_sans/铋.png,pic/AlibabaPuHuiTi/铋.png,pic/kaiti/铋.png,pic/hanyi_senty_wen/铋.png"
铌,3 1 1 1 5 5 1 3 3 5,4544,094CC,"pic/noto_serif/铌.png,pic/source_han_sans/铌.png,pic/AlibabaPuHuiTi/铌.png,pic/kaiti/铌.png,pic/hanyi_senty_wen/铌.png"
铍,3 1 1 1 5 5 3 2 5 4,4545,094CD,"pic/noto_serif/铍.png,pic/source_han_sans/铍.png,pic/AlibabaPuHuiTi/铍.png,pic/kaiti/铍.png,pic/hanyi_senty_wen/铍.png"
䥽,3 1 1 1 5 5 3 5 4 4,4546,0497D,"pic/noto_serif/䥽.png,pic/source_han_sans/䥽.png,pic/AlibabaPuHuiTi/䥽.png,pic/kaiti/䥽.png,pic/hanyi_senty_wen/䥽.png"
铎,3 1 1 1 5 5 4 1 1 2,4547,094CE,"pic/noto_serif/铎.png,pic/source_han_sans/铎.png,pic/AlibabaPuHuiTi/铎.png,pic/kaiti/铎.png,pic/hanyi_senty_wen/铎.png"
氩,3 1 1 5 1 2 2 4 3 1,4548,06C29,"pic/noto_serif/氩.png,pic/source_han_sans/氩.png,pic/AlibabaPuHuiTi/氩.png,pic/kaiti/氩.png,pic/hanyi_senty_wen/氩.png"
氤,3 1 1 5 2 5 1 3 4 1,4549,06C24,"pic/noto_serif/氤.png,pic/source_han_sans/氤.png,pic/AlibabaPuHuiTi/氤.png,pic/kaiti/氤.png,pic/hanyi_senty_wen/氤.png"
氦,3 1 1 5 4 1 5 3 3 4,4550,06C26,"pic/noto_serif/氦.png,pic/source_han_sans/氦.png,pic/AlibabaPuHuiTi/氦.png,pic/kaiti/氦.png,pic/hanyi_senty_wen/氦.png"
毪,3 1 1 5 5 4 3 1 1 2,4551,06BEA,"pic/noto_serif/毪.png,pic/source_han_sans/毪.png,pic/AlibabaPuHuiTi/毪.png,pic/kaiti/毪.png,pic/hanyi_senty_wen/毪.png"
舐,3 1 2 2 5 1 3 5 1 5,4552,08210,"pic/noto_serif/舐.png,pic/source_han_sans/舐.png,pic/AlibabaPuHuiTi/舐.png,pic/kaiti/舐.png,pic/hanyi_senty_wen/舐.png"
秣,3 1 2 3 4 1 1 2 3 4,4553,079E3,"pic/noto_serif/秣.png,pic/source_han_sans/秣.png,pic/AlibabaPuHuiTi/秣.png,pic/kaiti/秣.png,pic/hanyi_senty_wen/秣.png"
秫,3 1 2 3 4 1 2 3 4 4,4554,079EB,"pic/noto_serif/秫.png,pic/source_han_sans/秫.png,pic/AlibabaPuHuiTi/秫.png,pic/kaiti/秫.png,pic/hanyi_senty_wen/秫.png"
盉,3 1 2 3 4 2 5 2 2 1,4555,076C9,"pic/noto_serif/盉.png,pic/source_han_sans/盉.png,pic/AlibabaPuHuiTi/盉.png,pic/kaiti/盉.png,pic/hanyi_senty_wen/盉.png"
笄,3 1 4 3 1 4 1 1 3 2,4556,07B04,"pic/noto_serif/笄.png,pic/source_han_sans/笄.png,pic/AlibabaPuHuiTi/笄.png,pic/kaiti/笄.png,pic/hanyi_senty_wen/笄.png"
笕,3 1 4 3 1 4 2 5 3 5,4557,07B15,"pic/noto_serif/笕.png,pic/source_han_sans/笕.png,pic/AlibabaPuHuiTi/笕.png,pic/kaiti/笕.png,pic/hanyi_senty_wen/笕.png"
笊,3 1 4 3 1 4 3 3 2 4,4558,07B0A,"pic/noto_serif/笊.png,pic/source_han_sans/笊.png,pic/AlibabaPuHuiTi/笊.png,pic/kaiti/笊.png,pic/hanyi_senty_wen/笊.png"
笏,3 1 4 3 1 4 3 5 3 3,4559,07B0F,"pic/noto_serif/笏.png,pic/source_han_sans/笏.png,pic/AlibabaPuHuiTi/笏.png,pic/kaiti/笏.png,pic/hanyi_senty_wen/笏.png"
笆,3 1 4 3 1 4 5 2 1 5,4560,07B06,"pic/noto_serif/笆.png,pic/source_han_sans/笆.png,pic/AlibabaPuHuiTi/笆.png,pic/kaiti/笆.png,pic/hanyi_senty_wen/笆.png"
俸,3 2 1 1 1 3 4 1 1 2,4561,04FF8,"pic/noto_serif/俸.png,pic/source_han_sans/俸.png,pic/AlibabaPuHuiTi/俸.png,pic/kaiti/俸.png,pic/hanyi_senty_wen/俸.png"
倩,3 2 1 1 2 1 2 5 1 1,4562,05029,"pic/noto_serif/倩.png,pic/source_han_sans/倩.png,pic/AlibabaPuHuiTi/倩.png,pic/kaiti/倩.png,pic/hanyi_senty_wen/倩.png"
俵,3 2 1 1 2 1 3 5 3 4,4563,04FF5,"pic/noto_serif/俵.png,pic/source_han_sans/俵.png,pic/AlibabaPuHuiTi/俵.png,pic/kaiti/俵.png,pic/hanyi_senty_wen/俵.png"
偌,3 2 1 2 2 1 3 2 5 1,4564,0504C,"pic/noto_serif/偌.png,pic/source_han_sans/偌.png,pic/AlibabaPuHuiTi/偌.png,pic/kaiti/偌.png,pic/hanyi_senty_wen/偌.png"
俳,3 2 2 1 1 1 2 1 1 1,4565,04FF3,"pic/noto_serif/俳.png,pic/source_han_sans/俳.png,pic/AlibabaPuHuiTi/俳.png,pic/kaiti/俳.png,pic/hanyi_senty_wen/俳.png"
俶,3 2 2 1 1 2 3 4 5 4,4566,04FF6,"pic/noto_serif/俶.png,pic/source_han_sans/俶.png,pic/AlibabaPuHuiTi/俶.png,pic/kaiti/俶.png,pic/hanyi_senty_wen/俶.png"
倬,3 2 2 1 2 5 1 1 1 2,4567,0502C,"pic/noto_serif/倬.png,pic/source_han_sans/倬.png,pic/AlibabaPuHuiTi/倬.png,pic/kaiti/倬.png,pic/hanyi_senty_wen/倬.png"
倏,3 2 2 3 5 4 1 3 4 4,4568,0500F,"pic/noto_serif/倏.png,pic/source_han_sans/倏.png,pic/AlibabaPuHuiTi/倏.png,pic/kaiti/倏.png,pic/hanyi_senty_wen/倏.png"
恁,3 2 3 1 2 1 4 5 4 4,4569,06041,"pic/noto_serif/恁.png,pic/source_han_sans/恁.png,pic/AlibabaPuHuiTi/恁.png,pic/kaiti/恁.png,pic/hanyi_senty_wen/恁.png"
倭,3 2 3 1 2 3 4 5 3 1,4570,0502D,"pic/noto_serif/倭.png,pic/source_han_sans/倭.png,pic/AlibabaPuHuiTi/倭.png,pic/kaiti/倭.png,pic/hanyi_senty_wen/倭.png"
倪,3 2 3 2 1 5 1 1 3 5,4571,0502A,"pic/noto_serif/倪.png,pic/source_han_sans/倪.png,pic/AlibabaPuHuiTi/倪.png,pic/kaiti/倪.png,pic/hanyi_senty_wen/倪.png"
